"Año";"Periodo";"Variación anual"
"1997";"Año";"8,2"
"1998";"Año";"11,7"
"1999";"Año";"16,2"
"2000";"Año";"8"
"2001";"Año";"0,9"
"2002";"Año";"2,3"
"2003";"Año";"-7,1"
"2004";"Año";"2,6"
"2005";"Año";"12,4"
"2006";"Año";"0,8"
"2007";"Año";"-1,8"
"2008";"Año";"2,5"
"2009";"Año";"-11,6"
"2010";"Año";"1,2"
"2011";"Año";"2,3"
"2012";"Año";"-2,5"
"2013";"Año";"1,8"
"2014";"Año";"2,4"
"2015";"Año";"5,5"
"2016";"Año";"6,1"
"2017";"Año";"6,3"
"2018";"Año";"1,5"
"2019";"Año";"4,7"
"2020";"Año";"-54,2"
;;
;;
"Métrica":"Variación anual"
"Fuente":"AEAT"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-anual-facturacion-grandes-grupos-hosteleros-restauracion-espana/1a7d20ba-4db0-46bf-bea9-be4c35d3de37"
"Titulo":"Variación anual de la facturación de los grandes grupos hosteleros y de restauración en España"
"Subtitulo":"Serie deflactada y desestacionalizada"
